id_venda;id_cliente;id_produto;quantidade;preco_total;data_venda;canal_venda;status_venda
7306edd2-a997-4e48-9e9b-6982d799adb8;87b4316e-4740-474a-bb41-deb49b063b5b;prod_1;4;799.96;27/04/2025;marketplace;concluída
cda06cb2-dd15-4f88-9c05-cc964e0cfcae;4291385e-8ca7-40e3-812f-a2c1fc3d341f;prod_21;4;119.96;05/02/2025;marketplace;concluída
c2b2543a-81af-4607-943c-0c62c3c20671;1537ec19-2a3c-4527-ae70-49ec595dd762;prod_32;3;59.97;07/01/2025;marketplace;concluída
86acc8d0-df58-49e6-a633-78f743f1e742;4de199c6-26f5-420e-9833-0d2e4ffacae2;prod_39;5;104.95;25/04/2025;site;concluída
3f5e97ba-e8c9-4ef5-af5c-0fcd48141140;bed012bd-8ffa-433b-9d2a-2ac862607d50;prod_11;2;179.98;07/05/2025;site;concluída
329475c9-a454-4483-aa38-77ac648f65e5;7e952858-74d7-4d23-98d9-8056a2091fe3;prod_33;3;104.97;08/04/2025;marketplace;concluída
b083f6a6-edd4-4f31-a5f6-9c3797d5859a;b0f8d03e-6b4e-47c1-934e-b2ade9dbef0d;prod_48;2;799.98;25/01/2025;marketplace;concluída
06fb720e-5a53-41d0-9f2b-44626cf45632;138f09f4-324a-4d44-b706-d800f6fbf5a2;prod_13;5;329.95;04/04/2025;site;cancelada
b1b3120a-bce5-421d-9dfc-65c38e65cc4d;771c8529-26f2-49c1-8dae-ce3e95825ded;prod_29;1;30.0;11/01/2025;marketplace;concluída
fbbbc7dc-b79c-47bf-9782-6463ef7864ea;b9250896-a653-46dc-af15-bab6e5699d4f;prod_2;4;1399.96;22/01/2025;marketplace;concluída
bdc70693-65af-4f83-8aa1-394d01541cbf;a3a1d3ea-0442-485b-878c-f8f87a10d35c;prod_42;2;199.98;16/02/2025;site;em processamento
13591425-4536-4ab9-bdc8-11eeda98977a;d99ef1fe-380e-498e-a8da-119b1b918c70;prod_33;3;104.97;08/01/2025;marketplace;concluída
f8478e14-745a-4136-a4e7-bd68871e3302;df3e56c2-437b-49b9-a74d-fed896d44546;prod_49;1;59.99;07/03/2025;site;concluída
1980ef73-722e-49fa-bae6-379a3709a20f;3e6d81ed-2cac-4037-bffe-e2556a8974ad;prod_20;5;499.95;13/03/2025;site;concluída
8e4c3539-8ae1-4f5d-a42f-1281ad32ab0c;f68b8dc5-1cdc-40d6-9d41-a93057c892ab;prod_1;2;399.98;23/03/2025;marketplace;em processamento
1af8620f-3856-413f-8cfa-98a2b9cd361b;65593dcb-e27c-4870-a727-1aafba5b550a;prod_2;1;349.99;06/05/2025;marketplace;concluída
cee26843-2c2b-4e43-8688-43a3bf134cb7;b3c74ae2-a888-4d53-ac09-b49dc7a1d030;prod_33;4;139.96;20/01/2025;marketplace;concluída
f5c4894a-4f26-4dd1-b092-49a538d37edb;8fbc74f7-afe9-4a13-889b-0fa05412c11d;prod_4;1;499.99;26/02/2025;site;concluída
148c051a-1d57-4e63-a95a-0fa4588c0f59;8f34ffc0-99e7-4b47-9e48-0111c8af262a;prod_3;5;4499.95;25/03/2025;marketplace;concluída
c835ff94-2934-4a16-855b-31f3ad9ef030;8f34ffc0-99e7-4b47-9e48-0111c8af262a;prod_33;2;69.98;27/01/2025;site;concluída
116c8705-b95f-460e-a762-59ff158058fa;effe06ea-c3b7-401c-9202-644bfb55dc30;prod_44;4;599.96;25-abc-2017;marketplace;concluída
7d45b813-f9cd-44d6-ac66-95bedfe64480;1655ec5d-6565-4d7d-8850-2b289c3e6228;prod_45;1;89.99;19/01/2025;marketplace;concluída
8f0ac80e-7a61-4f43-9fc5-03af23d94df0;b8c5d1ef-69c3-4cd9-8ebd-fc7dc678f149;prod_39;4;83.96;17/03/2025;marketplace;concluída
4325f918-ac99-48a9-b84a-3392a435b97f;54176560-0e5c-4be9-a920-e75e3d305972;prod_12;4;482.0;26/01/2025;marketplace;concluída
c6cd6790-6993-4dc2-bd19-946911e0878f;0f44dd74-cd59-4202-a642-cabb2ad3636d;prod_23;1;22.5;22/04/2025;site;cancelada
3d5b421e-1edb-4927-a03a-8e18b7a5eba2;8178c0c1-4bc3-4e9e-990d-b283c2839b63;prod_26;2;90.0;11/04/2025;marketplace;concluída
c7b5f15f-cba0-4849-b19b-3109f2613328;15ca4227-38f2-4163-abac-0d7ea6017910;prod_25;1;39.99;9-abc-2006;marketplace;devolvida
6e085520-41f9-47ca-8f57-9319123343b1;7fec8c63-4a16-4711-90fd-a871f00f83e1;prod_32;1;19.99;21/02/2025;marketplace;concluída
eda05473-31fe-421e-bf94-aa6996a37caf;3cf81cdf-febe-48c4-97ed-036ddd155de4;prod_16;3;750.0;26/03/2025;marketplace;cancelada
ef704f88-e79a-4e9d-a20f-db900d1c92c7;7fec8c63-4a16-4711-90fd-a871f00f83e1;prod_28;3;165.0;13/02/2025;site;concluída
4e071011-a40c-40a9-9289-931aa9f96ceb;1f8bb9bf-1a89-4543-882b-28d6c3824971;prod_45;3;269.97;11/02/2025;marketplace;concluída
18a0537d-1ef9-4b87-b2fb-dd76bb51cdff;c44b5ee7-c7df-4b68-b2bd-fac700172d78;prod_29;2;60.0;13/03/2025;marketplace;concluída
e3608d26-fa8c-49ad-ac79-081fc49e3cfd;8d1fa08f-181c-4a05-86c3-6db6eb401a42;prod_9;3;2698.5;04/04/2025;site;concluída
624cd7f3-15e7-4059-83ef-e2107618a95f;7b08152d-55c0-4e7d-8f28-ad187474039e;prod_22;4;103.96;07/03/2025;site;concluída
4c2d345d-915a-4629-ac60-86a1308231e1;e93caf98-318b-4ae0-87a6-d956b1128b64;prod_12;4;482.0;02/05/2025;marketplace;concluída
fde8ecb5-5991-4b17-a62e-9752d89cab9e;0bf3d2c4-9884-49b7-90c1-cc70831b0693;prod_25;1;39.99;09/04/2025;site;concluída
6cc9a7dc-17bd-459c-a198-33251431e4da;d43046d5-9076-4f77-9cfc-e3c2d63fcc11;prod_49;5;299.95;15/03/2025;marketplace;cancelada
9d0b1f94-429f-49d0-9a40-575e0ed98a3e;06f9c205-b346-467f-9b0d-bc80b2a7688a;prod_9;4;3598.0;17/02/2025;marketplace;concluída
db8bce14-db1f-42ff-827c-ef83b795d915;36abac36-8ab7-4dad-83d7-5fd3d9633540;prod_10;1;650.0;20/03/2025;site;concluída
54193c7f-958b-40ca-9a53-09366db6d136;36342406-f8cc-4986-8be7-2166697548ce;prod_46;5;899.95;4-ghi-2009;site;concluída
b7f17f5c-772d-480d-b107-e818420028fe;1eef0d4e-5a46-4c6f-af99-d7b800ea4ef5;prod_2;5;1749.95;25/01/2025;marketplace;concluída
c659f676-0359-4a7d-b238-87d5708a844f;d5bb55b5-7c4f-4ba5-987b-779f0d5a8a50;prod_18;5;250.0;02/05/2025;site;devolvida
ebefc95e-c087-4665-b2cc-1f1316c797bd;66eb26a4-c013-4028-be4d-84ca1b4d9e28;prod_30;5;400.0;04/02/2025;site;cancelada
00222c66-b25a-4fcb-b7f6-2a2e6506b4ea;fb0480f6-0c47-4d8e-b33f-7beeb68b8026;prod_36;1;45.0;31/01/2025;marketplace;concluída
58cbe3cd-6f59-43c5-bc36-6b404863fb60;04b26147-daa7-479e-8cf0-364485e4a01a;prod_31;5;199.95;14/04/2025;site;devolvida
01d80c81-af6b-4e83-bc3c-3161bf0423f9;2323c310-5949-48f3-bc72-86bc1552af19;prod_45;4;359.96;29/03/2025;marketplace;concluída
3fd3544e-8051-448b-8078-637a5d266271;473dadb4-7de3-46e1-a1e3-1630d081dac6;prod_19;1;80.0;27/02/2025;site;concluída
aa764de1-5174-4185-aa1c-48d1f3798320;e23ad2d4-5d35-45ab-b62a-802013fda66b;prod_42;2;199.98;29/01/2025;site;concluída
b3ff31b7-65a5-49c7-b06a-b94b1bd08625;d9bba37a-d5dd-4bd1-9c9c-b6e102e00401;prod_42;2;199.98;02/04/2025;marketplace;cancelada
cd85d047-98aa-4a25-94d5-a0243f9e68f2;8eca0b37-9a4a-43e1-9204-f7de7fbb6b77;prod_11;4;359.96;07/01/2025;marketplace;devolvida
4e0a591f-ff81-4054-aecf-a6c40ffbd2db;3e3ad0f2-cb82-4702-97cb-927cdb5ad3f5;prod_17;5;927.5;09/04/2025;marketplace;pendente
3573bac5-c7f4-45a8-ba3a-7a5445cc1c90;c1435d2a-cde8-4a15-8b6e-4a63a45bd95e;prod_50;3;360.0;09/02/2025;marketplace;concluída
e90ff764-ab75-4de6-b45b-d1c6aea2d847;32c96bd1-aa92-464c-9136-fa4de071f46f;prod_44;3;449.97;21/02/2025;site;concluída
fc5e3dc0-9e9d-4710-b227-528af230f774;2218b6ca-2956-448a-99ee-116236333ed5;prod_1;4;799.96;24/02/2025;marketplace;concluída
1ceeef1d-0783-4ba1-8c5d-db1f0c4e6945;d06605cb-9fd7-4fb6-b5e9-a9fe8ad50b80;prod_6;4;1000.0;04/03/2025;marketplace;concluída
b50808cc-c7c8-4f0a-b63e-0676f31959c8;4624aa78-f12e-466b-a00f-bc0eb081aab7;prod_38;3;112.5;27/02/2025;site;concluída
2f24fc99-b721-46ed-af7a-5a82bae8d627;f2f8eb36-8ca8-4d1b-b91e-ab47355f0a0b;prod_31;2;79.98;28/04/2025;site;concluída
c7cb843c-dccd-4cdc-9688-fa8ef3cd4afc;e6c9db64-5b7f-4159-bf61-82b9dd7edd87;prod_10;4;2600.0;15/01/2025;marketplace;concluída
4aeec44e-b7fc-4ab4-8057-5db37894c8c3;86ccef0c-5883-4a33-80b8-a6413629c897;prod_50;3;360.0;14/02/2025;site;concluída
5c36657f-b8b5-42e5-8770-4def867d7198;d99ef1fe-380e-498e-a8da-119b1b918c70;prod_38;5;187.5;16/01/2025;site;concluída
7ad4179c-58dc-40d6-b8f7-17881d8d2b57;4fc6936f-7ec9-4fa7-9cc0-39ca40c62d07;prod_21;1;29.99;06/02/2025;marketplace;concluída
c34e36da-1649-4b3f-84d9-aff541b70f07;f9aead91-c341-4aa5-bb11-688c3d30e1d2;prod_1;3;599.97;15/01/2025;marketplace;concluída
597c2d9e-7804-4bc4-80a5-f8521d4198ec;91246310-f868-44d2-9153-dce411529d17;prod_34;2;51.0;16/02/2025;marketplace;concluída
78af5c54-226d-4366-bc2b-a8ae9141d128;1e25a414-3a67-46e1-91ef-5960e28da782;prod_21;4;119.96;23/02/2025;marketplace;erro
3c294f51-2e4a-46b0-b5a8-3716939d155c;1ebc4d42-508c-4a1f-a764-f3c6db8b9083;prod_32;3;59.97;24/03/2025;marketplace;concluída
326da0cf-4a20-4330-bddf-b910f9003bd9;7ceb01c6-5e96-429c-993d-5ea003b2be93;prod_7;3;1497.0;25/04/2025;site;concluída
06241a94-54c1-405c-9859-272fc8ecc25b;a1ed58b5-5315-46a5-9dc2-23fe40e89734;prod_27;2;120.0;05/01/2025;marketplace;concluída
175421e0-58c7-4cad-add1-c41bf1bc3031;e0aee464-86b6-42de-a3b7-c91e9b65dd80;prod_34;2;51.0;19/03/2025;marketplace;concluída
d516c11b-0369-402a-812b-11c604eba3c0;26f5ecef-9f8a-4675-aa36-b911229b3201;prod_6;4;1000.0;05/02/2025;site;concluída
ab0893a5-7c89-414e-b1bf-9795e862a3a8;4625c403-89b9-4aea-97c2-17a6a89cd330;prod_11;3;269.97;12/04/2025;marketplace;concluída
37bdfd3f-4b86-4630-aa9f-47a432473810;c0cf4d81-4047-434c-beac-6a0b506069d1;prod_1;5;999.95;27/02/2025;marketplace;concluída
10ba795f-8111-4247-8ef3-cc70a7ee24d0;cbab3a3b-69be-4b8f-8d9c-61e8be264162;prod_44;2;299.98;26/03/2025;site;concluída
f85ca405-769b-4555-9e29-8c4c6cfcbca9;02774a52-248c-43c7-bf8c-a318ded9de35;prod_38;5;187.5;01/05/2025;site;pendente
e3ed9f02-d376-49ae-af9a-07c60b487bee;41b60ae7-feaa-4a4f-b952-33207b1e1d86;prod_11;3;269.97;11/01/2025;site;devolvida
47948db3-92c6-4851-9054-49416d6c6c61;8756b652-6be2-47db-ba1d-6b4c70f33b99;prod_17;4;742.0;01/05/2025;marketplace;concluída
729d7b69-9bb7-4219-9996-04a5e53a02a7;ca85034b-b1dc-4825-893f-b191e77ce710;prod_12;4;482.0;23-ghi-2015;site;concluída
8ae5df0b-5c89-4fba-aee0-8699cf10cc26;1ffecfb7-3f33-4ee5-9be6-bcc2d19ee45c;prod_31;4;159.96;07/04/2025;marketplace;concluída
1b9fc281-7fd4-4a6a-806e-014ad35934eb;fe9b7b71-8712-43eb-851d-c982fdc1adc6;prod_44;5;749.95;15/01/2025;marketplace;cancelada
3ee9fd82-5c28-4c83-86af-d48f3d0b33a8;b41a28ea-c18e-4d69-9cb4-35cd24ef5490;prod_42;4;399.96;27/01/2025;marketplace;concluída
bc23efca-12e1-422f-98fe-5d8dc049b073;b854ca25-7cf7-45be-b629-0f84e9384b04;prod_41;1;249.99;14/04/2025;site;cancelada
75fbd5db-8591-4e06-bcf6-f9c673904afc;0297966a-7df4-4359-8e2b-2bfb600382ae;prod_20;4;399.96;14/02/2025;site;concluída
bee7a591-5717-4275-9830-fc04c44f6495;2ba19cfc-8105-4fb5-85d3-eda940eb7fc4;prod_20;1;99.99;04/05/2025;site;concluída
95040c06-4595-44dd-8bdd-793cf0506394;634ea78c-9940-4478-9f1c-0a110c1ce332;prod_24;3;150.0;28/04/2025;marketplace;concluída
a427d238-6496-4cd1-a598-c6e54bb5197f;4b308053-cb6b-45f5-88bf-9b2f6289d592;prod_26;3;135.0;01/05/2025;site;concluída
c2edc4bf-4051-4b63-aca3-59df6b409a0b;c7348bf1-20ae-46d0-9233-79446dc90d00;prod_44;2;299.98;13/03/2025;marketplace;cancelada
ed3fa7a0-b507-4293-ba75-ed6423e0471b;9ce51c37-38c3-4d73-aecf-fbcbf269c67d;prod_45;5;449.95;05/05/2025;marketplace;concluída
b2f2e1f9-5d22-4110-8b7d-18296a951cc0;c8757d9f-58ae-41ff-a369-ed4a114e467d;prod_18;5;250.0;25/03/2025;marketplace;concluída
ff7471f8-064a-4e82-8a50-69b5ad16674a;4d300460-ce69-428d-a9f8-16f569a93eb9;prod_27;5;300.0;11/04/2025;site;devolvida
870ec52f-6af0-49f4-83d8-517975c33f5e;c4b033b3-230a-46ad-b67b-9e839cbbbb2a;prod_12;2;241.0;10/01/2025;site;concluída
dd19d780-6907-4f13-ad46-88e9478f002f;9e684e55-f22a-4a01-9837-15c3eb17982d;prod_24;5;250.0;19/01/2025;site;concluída
798a2ece-a7b9-4c15-a6aa-50c8350f54e3;2d4196f4-abc9-4e28-99ba-934d690058e6;prod_44;5;749.95;05/03/2025;marketplace;concluída
2a2bbdc1-1a4f-4856-9d24-0439420bdf43;235348a7-8f6e-44fe-ba9f-8ecab48fed2a;prod_50;2;240.0;09/02/2025;marketplace;concluída
dc75b5eb-aebe-426c-9329-50766e1dda81;1e94a40d-c51e-4e61-8a91-9a66e16ecd70;prod_11;4;359.96;04/04/2025;marketplace;concluída
f25ad9eb-e915-4e95-ab9a-c836b57d95a7;95050847-8ca0-4801-9bc0-ff16da2e55ee;prod_39;2;41.98;25/02/2025;site;concluída
c1aebaca-125d-4554-9baf-c4e1bb1cf4dd;2379fe94-adf1-4a4a-becb-3b43c2a64d90;prod_49;2;119.98;08/04/2025;marketplace;concluída
ac19b0ee-3065-43a0-befa-34f323ebe20d;c1690962-3292-469a-8d0e-9658c794acf2;prod_18;4;200.0;04/04/2025;marketplace;concluída
a35f176d-ac4d-46b9-8762-eefbf17cef60;9e6829c6-9307-4b61-a201-fa7a8670e7bd;prod_36;2;90.0;26/01/2025;marketplace;concluída
c421cf67-0173-4990-8a21-587611811b0b;17b994b1-1936-4389-a5f3-e98b75f2810f;prod_2;2;699.98;04/01/2025;marketplace;concluída
4bcb0a9a-f766-4e6b-a007-28ce9de062f7;4768a111-efb4-4c23-879b-545aa3fcc9b0;prod_39;4;83.96;06/01/2025;site;concluída
1f2c1ec9-8dc8-48e0-8bba-0d0d46d855ed;f973fa02-51ab-4c34-99e6-91b804eeb78a;prod_15;2;290.0;02/02/2025;site;concluída
901fa295-4f5c-4a1c-b8e9-020cb04582a1;bdfe1443-1eb6-46cd-b5af-3763948bd2e2;prod_16;5;1250.0;07/04/2025;site;concluída
f92d384e-e95c-41b0-98fc-529087af303a;96e30742-daae-4610-9833-7f203be8818c;prod_15;3;435.0;08/04/2025;marketplace;concluída
1ec646bd-7ee4-4771-8c9a-eae93c120f0c;4a4d2955-e9e8-435e-9407-646761cc9a82;prod_6;4;1000.0;10/01/2025;site;concluída
83069744-a00f-48f4-b99e-002ec73687d2;66205ea1-4cde-4949-b5bb-06cece534c17;prod_27;2;120.0;14/02/2025;site;concluída
ead1f2cf-1aa8-4271-8668-077bcb0058f2;423bdb77-7f80-4774-b91a-2c059d6c2ee4;prod_35;1;29.99;22/04/2025;marketplace;devolvida
60fe7575-bd33-44f2-8dc8-3c50b4dddab3;634ea78c-9940-4478-9f1c-0a110c1ce332;prod_46;5;899.95;22/01/2025;site;concluída
4781ae8b-7d52-404e-8409-2ededfe92b32;c78cc436-cbca-4536-8ebf-58c22f32f663;prod_27;2;120.0;03/01/2025;marketplace;concluída
4d4b2af7-1e9c-41be-964e-9949631a47d2;0168264f-38a0-4442-b2ee-5fa50c5a2b32;prod_29;1;30.0;21/03/2025;site;concluída
192a089c-015c-45ee-935b-dfa29f15c30f;bc075749-2d77-4416-a4f0-4b2ab4416a43;prod_27;3;180.0;30/01/2025;site;concluída
62b3978c-5ed5-438a-adc0-b5f5fc32a369;6a190c46-4ca9-4bc0-81b4-7c369ab7ae08;prod_44;4;599.96;07/03/2025;marketplace;em processamento
4c579e29-e42a-435d-9ce5-9c617ee54321;e6866da7-dc1c-48d3-9efd-c2e4231f3779;prod_28;1;55.0;12/01/2025;site;concluída
113a02ca-6a84-4219-ac4b-0097e663ee40;0d380d16-3579-418a-8cb7-cb2e459c8ca1;prod_48;5;1999.95;23/01/2025;site;concluída
aa4a9ee3-b1ec-4067-80b2-8cbb7cda1efb;0f22e353-2387-418c-a47c-40c3b1a01188;prod_49;4;239.96;11/01/2025;site;concluída
904cb594-fc25-4c97-8707-ea687636df59;3c111350-b9df-4ba6-8e95-84b8b8bcedcb;prod_38;5;187.5;04/01/2025;site;concluída
619b7da9-5273-4c19-ba44-dcf84b8426bf;9b3ba6f9-c872-47d1-8551-6b01fe1148c4;prod_15;3;435.0;26/01/2025;marketplace;erro
2706ee8f-2684-4c75-8ae9-f9b15ea8ff2c;65593dcb-e27c-4870-a727-1aafba5b550a;prod_4;1;499.99;02/03/2025;marketplace;concluída
0d3d9951-4ae3-4bbc-92be-aaed6899bc4d;1f8bb9bf-1a89-4543-882b-28d6c3824971;prod_1;3;599.97;14/03/2025;site;concluída
ee254cf2-a5bb-4aa4-be4c-4eaa40fe7e0b;e625a3d1-9cfd-46c2-842b-e9283f8efacc;prod_3;1;899.99;27/02/2025;site;concluída
cac2db7a-9e1f-4f28-ad21-743b4886268a;ebfad184-a7da-4065-811a-ffd0a8d961b9;prod_47;3;599.97;09/02/2025;site;cancelada
4f558058-81f1-4bf4-801d-08a2f4b0e6d8;255c4d2a-d90c-4fe7-9dd1-1e06528335c4;prod_7;5;2495.0;21/01/2025;marketplace;pendente
3c9d165a-e243-4635-b18e-b5e4ee6ba0ee;97e8eada-2101-46ff-b277-339776bf6917;prod_29;2;60.0;16/03/2025;marketplace;concluída
585e0a9e-5dd6-4163-8c6a-5c4aa43a2bc7;89030712-86ec-4ccd-b4d9-5079a106c09f;prod_42;5;499.95;08/03/2025;marketplace;concluída
59ef003a-d690-4352-b4c2-ad94173ac836;968c4f1d-9c88-4d90-a384-5e7f886e140c;prod_40;3;149.97;31/03/2025;site;concluída
e91bb12a-1ac0-445b-9c6d-7c976217ec90;e633b04e-7d02-4d9c-8af9-6812f309c80a;prod_8;2;1400.0;10-def-2022;site;cancelada
bfb6e84c-6a5a-477e-a478-dcbfcf206275;f9aead91-c341-4aa5-bb11-688c3d30e1d2;prod_42;2;199.98;05/05/2025;site;erro
3bbb0ff6-bcb1-4c03-bd21-2774d390f1c5;c763317c-76cb-4f99-8bb0-80e0f5f66a7e;prod_10;5;3250.0;28/02/2025;site;concluída
8ebf9eb1-8d53-4967-93a6-564ce0f17f89;ea8f216e-bd97-4355-acf9-09d8c43b1584;prod_40;1;49.99;28/04/2025;site;concluída
cd06ede3-2fcb-4e42-93ed-176a42da711c;22488f1a-97d6-46de-bae7-a58f250cdb2c;prod_23;1;22.5;23/03/2025;site;concluída
e014bfac-699f-4df7-8580-69e9248f29e1;61e98f1d-1a18-4ebb-8598-97424b8f8679;prod_12;1;120.5;21/01/2025;marketplace;cancelada
b8f173bf-0145-4ef7-aeae-4dbe173ef604;00359273-4da0-4640-b8c8-4797eaf4a62d;prod_19;1;80.0;13/02/2025;marketplace;concluída
e03dc02b-d9e8-497d-b009-8c10303c98a7;473dadb4-7de3-46e1-a1e3-1630d081dac6;prod_5;1;379.99;13/03/2025;site;concluída
4b46c5a7-228e-4d11-b5ed-706600a41297;a8c1ab87-ad6a-4bcf-bee8-c88b2b227fa2;prod_20;3;299.97;22/02/2025;marketplace;concluída
d0fb72e0-dedd-4546-a313-1b5e546f956c;3a1e8ba0-96f5-46e7-9afc-27a08c62f43c;prod_45;1;89.99;28/02/2025;marketplace;concluída
018bc441-acf3-40ed-8485-dc27ee901694;b5fcf46d-9763-4aa6-9066-4af9c58c7248;prod_7;3;1497.0;25/01/2025;marketplace;concluída
07b02d06-df89-4040-950a-f24897adef43;0bf27905-e7a7-4b2f-a7dc-b5d9b16033cf;prod_28;3;165.0;09/03/2025;site;concluída
f22cac77-8937-441b-b9df-a95558673964;99979e76-dba8-4a19-9479-f9245c73bb67;prod_8;5;3500.0;21/01/2025;site;concluída
7e9521eb-387a-4860-b549-2985f753b8f1;9bc6d636-282a-49f3-b495-30ae0dcfeffd;prod_45;5;449.95;04/05/2025;site;concluída
eb5e209a-3cbb-44cc-9102-ca49cf50846a;17b994b1-1936-4389-a5f3-e98b75f2810f;prod_50;4;480.0;14/03/2025;marketplace;concluída
d2d128c1-e8ac-43ec-b47b-5c4b516a75b4;be86e546-7160-4240-8106-6b2c071e64bf;prod_31;4;159.96;13/04/2025;marketplace;erro
af6fd1f9-e242-4806-85fe-ab87a05b2124;9e65ce44-3401-4414-8853-824e36ca514e;prod_12;5;602.5;24/03/2025;marketplace;concluída
0f53baed-a9e2-4f45-a859-17da839b91ef;f5e378a6-a85b-42cc-90f7-3177a3b4cad4;prod_14;1;79.99;12/02/2025;marketplace;concluída
32dd101c-1a18-49c2-807b-f16b78f62afe;88be92cd-34c2-4996-92a5-9e477522016b;prod_10;1;650.0;26-def-2013;marketplace;concluída
1728be2d-91f5-4d5b-b98e-94660ac2c499;5daca5ae-cc2e-4988-a908-e6e11a2dc9c5;prod_30;1;80.0;15/03/2025;marketplace;concluída
d409169b-84ba-4aa5-b7a3-f7c7cb91587f;bda31f9a-61f9-440f-acd6-457728460d7d;prod_3;2;1799.98;19/02/2025;site;concluída
c1fb171f-52cf-4d11-8443-1a6f2d168ddb;1d9d6be8-3646-4c37-a98f-babfc58097e0;prod_37;2;80.0;21/02/2025;marketplace;concluída
5f52c528-42d2-4670-b7c4-847658ebbbd3;3c9dd3fa-ee4b-4edd-a122-aedd0e209342;prod_35;4;119.96;22/01/2025;site;concluída
c83ee9fb-caad-4157-a1e0-ed4e82fd1904;bc075749-2d77-4416-a4f0-4b2ab4416a43;prod_23;4;90.0;22/02/2025;site;concluída
4a959584-f427-4c8c-8ce1-4b0ce7320b5f;d3b16ff7-5a17-43e7-8fc3-37ba2cd84c26;prod_10;5;3250.0;18/01/2025;marketplace;concluída
44c599f0-4364-4052-80da-69766c2270ed;5461c381-2f0e-4d39-b9a4-bda0879d5f2d;prod_26;5;225.0;20/04/2025;site;concluída
acc3cede-cc3b-4c82-b479-d9d5c51ad526;dc0782af-87b0-459a-a515-d8ed4ff65f92;prod_9;1;899.5;28/01/2025;marketplace;concluída
33e07c02-7703-45bb-b327-4baf12ca246a;3cf33d22-f715-48b6-9031-14192e824156;prod_8;3;2100.0;19/02/2025;site;concluída
a8dd46bd-2af4-4593-bfc9-3939d16d191f;9fcf3794-9f45-4c97-977f-edd605d8ee7a;prod_33;3;104.97;28/04/2025;site;concluída
4fbca53c-7b93-449f-8828-49a67bee2bbf;e5ce1076-7a49-4a1b-8144-c9c0a8f5878b;prod_47;1;199.99;01/05/2025;marketplace;concluída
88e2f04a-f990-4bfa-a451-fa6d6fa9a3af;1b8546d8-b7a8-4b2a-9552-aff08ea1f41e;prod_4;3;1499.97;20/03/2025;site;concluída
44ec462b-63cf-4e04-8a5b-eaffcb622f1f;ebfad184-a7da-4065-811a-ffd0a8d961b9;prod_6;2;500.0;23/02/2025;site;cancelada
ab7d6929-e309-40ac-9ad1-7088e154c3ec;36abac36-8ab7-4dad-83d7-5fd3d9633540;prod_13;5;329.95;08/02/2025;site;concluída
ca772d27-2282-45fe-8b9e-52acf1da69f8;92ef5f49-bfcc-464e-8f67-a8aa8a5e6837;prod_28;4;220.0;05/01/2025;site;concluída
273ad66f-d186-4fc1-a40c-5eb7fd3f1f18;3c9d41fa-2b9e-442b-b43c-fa45ffa27eb6;prod_11;3;269.97;11/03/2025;marketplace;concluída
6f31ae4b-0540-4ece-98e6-311212313272;60d6165a-79b5-4c29-bac9-e598090f9c56;prod_48;1;399.99;28/02/2025;site;concluída
